label	Assembly Accession	Organism Name	Assembly Release Date
enterococcus_hirae	GCF_002278015.2	Enterococcus hirae	2018-02-23
serratia_rubidaea	GCF_016026735.1	Serratia rubidaea	2020-12-14
obesumbacterium_proteus	GCF_000980985.1	Obesumbacterium proteus	2015-04-24
clostridium_chauvoei	GCF_002327205.1	Clostridium chauvoei	2017-09-21
cutibacterium_granulosum	GCF_030295285.1	Cutibacterium granulosum	2023-02-01
staphylococcus_agnetis	GCF_011466855.1	Staphylococcus agnetis	2020-03-19
serratia_marcescens	GCF_003516165.1	Serratia marcescens	2018-09-10
aerococcus_urinaeequi	GCF_001518795.1	Aerococcus urinaeequi	2016-01-20
streptococcus_dysgalactiae	GCF_016128095.1	Streptococcus dysgalactiae	2020-12-20
enterococcus_gilvus	GCF_003343305.1	Enterococcus gilvus	2018-07-26
achromobacter_denitrificans	GCF_013267375.1	Achromobacter denitrificans	2020-06-04
proteus_vulgaris	GCF_000754995.1	Proteus vulgaris	2014-09-16
providencia_rettgeri	GCF_003204135.1	Providencia rettgeri	2018-06-10
aeromonas_salmonicida	GCF_028355655.1	Aeromonas salmonicida	2023-01-31
finegoldia_magna	GCF_000010185.1	Finegoldia magna ATCC 29328	2008-02-14
citrobacter_freundii	GCF_904859905.1	Citrobacter freundii	2020-11-01
shewanella_amazonensis	GCF_000015245.1	Shewanella amazonensis SB2B	2006-12-21
brevibacterium_linens	GCF_003999335.1	Brevibacterium linens	2019-01-08
moraxella_ovis	GCF_001636015.1	Moraxella ovis	2016-05-02
enterococcus_cecorum	GCF_900474605.1	Enterococcus cecorum	2018-06-18
burkholderia_gladioli	GCF_016698705.1	Burkholderia gladioli	2021-01-19
mycolicibacterium_rutilum	GCF_900108565.1	Mycolicibacterium rutilum	2016-10-27
arcanobacterium_haemolyticum	GCF_900475915.1	Arcanobacterium haemolyticum	2018-06-17
corynebacterium_diphtheriae	GCF_021560115.1	Corynebacterium diphtheriae	2022-01-24
shigella_dysenteriae	GCF_022354085.1	Shigella dysenteriae	2022-02-22
lactococcus_garvieae	GCF_016026695.1	Lactococcus garvieae	2020-12-14
aeromonas_veronii	GCF_008693705.1	Aeromonas veronii	2019-09-25
moraxella_bovis	GCF_025985205.1	Moraxella bovis	2022-11-03
citrobacter_werkmanii	GCF_008693645.1	Citrobacter werkmanii	2019-09-25
rothia_mucilaginosa	GCF_000175615.1	Rothia mucilaginosa ATCC 25296	2009-08-05
tannerella_forsythia	GCF_000238215.1	Tannerella forsythia 92A2	2011-12-15
enterobacter_cloacae	GCF_905331265.2	Enterobacter cloacae	2022-05-24
vibrio_anguillarum	GCF_003390515.1	Vibrio anguillarum	2018-08-15
streptococcus_suis	GCF_000026745.1	Streptococcus suis BM407	2009-07-07
bordetella_bronchiseptica	GCF_900636925.1	Bordetella bronchiseptica	2018-12-20
mycolicibacterium_fortuitum	GCF_027570695.1	Mycolicibacterium fortuitum	2022-12-23
escherichia_albertii	GCF_028622335.1	Escherichia albertii	2023-02-15
vibrio_cholerae	GCF_008369605.1	Vibrio cholerae	2019-09-11
bradyrhizobium_japonicum	GCF_013752735.1	Bradyrhizobium japonicum	2020-07-27
bradyrhizobium_diazoefficiens	GCF_004359355.1	Bradyrhizobium diazoefficiens	2019-03-21
listeria_monocytogenes	GCF_000196035.1	Listeria monocytogenes EGD-e	2003-05-06
fusobacterium_nucleatum	GCF_003019295.1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	2018-03-26
citrobacter_amalonaticus	GCF_001558935.2	Citrobacter amalonaticus	2018-02-12
aggregatibacter_aphrophilus	GCF_900636915.1	Aggregatibacter aphrophilus ATCC 33389	2018-12-20
histophilus_somni	GCF_000019405.1	Histophilus somni 2336	2008-02-26
mycobacteroides_abscessus	GCF_004028015.1	Mycobacteroides abscessus	2019-01-16
trueperella_pyogenes	GCF_000612055.1	Trueperella pyogenes	2014-04-02
corynebacterium_ureicelerivorans	GCF_000747315.1	Corynebacterium ureicelerivorans	2014-09-03
listeria_innocua	GCF_009648575.1	Listeria innocua	2019-11-11
streptococcus_cristatus	GCF_900475445.1	Streptococcus cristatus ATCC 51100	2018-06-17
corynebacterium_resistens	GCF_000177535.2	Corynebacterium resistens DSM 45100	2011-06-15
staphylococcus_cohnii	GCF_900458255.1	Staphylococcus cohnii	2018-08-01
klebsiella_oxytoca	GCF_003812925.1	Klebsiella oxytoca	2018-11-21
tetragenococcus_halophilus	GCF_001712815.1	Tetragenococcus halophilus	2016-08-25
mycobacterium_tuberculosis	GCF_000195955.2	Mycobacterium tuberculosis H37Rv	2013-02-01
neisseria_subflava	GCF_005221305.1	Neisseria subflava	2019-05-07
streptococcus_constellatus	GCF_900459125.1	Streptococcus constellatus	2018-07-31
aeromonas_hydrophila	GCF_020162255.1	Aeromonas hydrophila	2021-09-28
pseudomonas_putida	GCF_000412675.1	Pseudomonas putida NBRC 14164	2013-06-14
mycolicibacterium_vaccae	GCF_001655245.1	Mycolicibacterium vaccae 95051	2016-06-03
vibrio_fluvialis	GCF_001558415.2	Vibrio fluvialis	2018-01-29
clostridium_saccharoperbutylacetonicum	GCF_000340885.1	Clostridium saccharoperbutylacetonicum N1-4(HMT)	2013-02-19
providencia_heimbachae	GCF_900475855.1	Providencia heimbachae	2018-06-17
flavobacterium_johnsoniae	GCF_000016645.1	Flavobacterium johnsoniae UW101	2007-05-01
klebsiella_aerogenes	GCF_007632255.1	Klebsiella aerogenes	2019-07-30
aeromonas_media	GCF_020423125.1	Aeromonas media	2021-10-12
pseudomonas_fluorescens	GCF_900215245.1	Pseudomonas fluorescens	2017-09-06
elizabethkingia_anophelis	GCF_002023665.2	Elizabethkingia anophelis R26	2017-09-18
vibrio_alginolyticus	GCF_023650915.1	Vibrio alginolyticus	2022-06-06
dermabacter_vaginalis	GCF_001678905.1	Dermabacter vaginalis	2016-07-05
arcanobacterium_phocae	GCF_900105865.1	Arcanobacterium phocae	2016-10-21
paracoccus_yeei	GCF_002749495.1	Paracoccus yeei	2017-11-03
mycolicibacterium_neoaurum	GCF_018363015.1	Mycolicibacterium neoaurum	2021-05-16
acinetobacter_bereziniae	GCF_016576965.1	Acinetobacter bereziniae	2020-12-20
vibrio_vulnificus	GCF_002204915.1	Vibrio vulnificus	2017-06-22
paenibacillus_xylanexedens	GCF_001908275.1	Paenibacillus xylanexedens	2016-12-19
aggregatibacter_segnis	GCF_900476035.1	Aggregatibacter segnis ATCC 33393	2018-06-17
elizabethkingia_bruuniana	GCF_016599835.1	Elizabethkingia bruuniana	2021-01-11
pandoraea_faecigallinarum	GCF_001029105.3	Pandoraea faecigallinarum	2016-10-20
burkholderia_cenocepacia	GCF_001718895.1	Burkholderia cenocepacia	2016-09-02
brevundimonas_vesicularis	GCF_002208825.2	Brevundimonas vesicularis	2018-03-02
alicycliphilus_denitrificans	GCF_000179015.2	Alicycliphilus denitrificans BC	2011-01-07
chryseobacterium_indologenes	GCF_900460995.1	Chryseobacterium indologenes	2018-08-08
providencia_alcalifaciens	GCF_002393505.1	Providencia alcalifaciens	2017-09-28
bordetella_pertussis	GCF_004008975.1	Bordetella pertussis	2019-01-09
kosakonia_cowanii	GCF_025758125.1	Kosakonia cowanii	2022-10-19
corynebacterium_striatum	GCF_016728105.1	Corynebacterium striatum	2021-01-20
clostridium_sporogenes	GCF_020450145.1	Clostridium sporogenes	2021-10-13
capnocytophaga_canimorsus	GCF_002302565.1	Capnocytophaga canimorsus	2017-09-14
clostridium_tetani	GCF_000007625.1	Clostridium tetani E88	2003-02-05
pseudomonas_aeruginosa	GCF_000006765.1	Pseudomonas aeruginosa PAO1	2006-07-07
bacteroides_fragilis	GCF_016889925.1	Bacteroides fragilis	2021-02-15
bordetella_holmesii	GCF_009627355.1	Bordetella holmesii	2019-11-08
vibrio_gazogenes	GCF_023920225.1	Vibrio gazogenes	2022-06-27
orientia_tsutsugamushi	GCF_900327255.1	Orientia tsutsugamushi	2018-05-12
campylobacter_jejuni	GCF_000009085.1	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	2003-05-06
burkholderia_cepacia	GCF_009586235.1	Burkholderia cepacia	2019-10-29
acinetobacter_baumannii	GCF_008632635.1	Acinetobacter baumannii	2019-09-23
corynebacterium_ulcerans	GCF_000215645.1	Corynebacterium ulcerans 809	2011-06-02
citrobacter_koseri	GCF_000018045.1	Citrobacter koseri ATCC BAA-895	2007-09-11
eikenella_corrodens	GCF_900187105.1	Eikenella corrodens	2017-08-15
acinetobacter_pittii	GCF_000191145.1	Acinetobacter pittii PHEA-2	2011-03-03
morganella_morganii	GCF_902387845.1	Morganella morganii	2019-08-10
bordetella_parapertussis	GCF_004008295.1	Bordetella parapertussis	2019-01-09
streptobacillus_moniliformis	GCF_000024565.1	Streptobacillus moniliformis DSM 12112	2009-11-16
acinetobacter_junii	GCF_018336855.1	Acinetobacter junii	2021-05-11
helicobacter_pylori	GCF_017821535.1	Helicobacter pylori	2021-04-07
bordetella_avium	GCF_000070465.1	Bordetella avium 197N	2006-09-29
ralstonia_insidiosa	GCF_001663855.1	Ralstonia insidiosa	2016-06-14
cronobacter_turicensis	GCF_030026565.1	Cronobacter turicensis	2023-05-16
neisseria_mucosa	GCF_900454435.1	Neisseria mucosa	2018-08-01
achromobacter_xylosoxidans	GCF_016728825.1	Achromobacter xylosoxidans	2021-01-20
tsukamurella_tyrosinosolvens	GCF_001623895.1	Tsukamurella tyrosinosolvens	2016-04-19
serratia_liquefaciens	GCF_008364325.2	Serratia liquefaciens	2020-02-26
staphylococcus_hyicus	GCF_000816085.1	Staphylococcus hyicus	2015-01-07
enterococcus_faecalis	GCF_000393015.1	Enterococcus faecalis EnGen0336	2013-05-14
serratia_proteamaculans	GCF_949794035.1	Serratia proteamaculans	2023-04-16
listeria_ivanovii	GCF_000763515.1	Listeria ivanovii subsp. ivanovii	2014-10-06
cedecea_neteri	GCF_002393445.1	Cedecea neteri	2017-09-28
mycobacterium_dioxanotrophicus	GCF_002157835.1	Mycobacterium dioxanotrophicus	2017-05-25
candidatus_tachikawaea_gelatinosa	GCF_000828815.1	Candidatus Tachikawaea gelatinosa	2014-09-19
mycobacterium_simiae	GCF_010727605.1	Mycobacterium simiae	2020-02-06
pasteurella_multocida	GCF_002073255.2	Pasteurella multocida	2018-03-01
salmonella_bongori	GCF_000439255.1	Salmonella bongori N268-08	2013-07-23
staphylococcus_kloosii	GCF_003019255.1	Staphylococcus kloosii	2018-03-26
bacillus_cereus	GCF_002220285.1	Bacillus cereus	2017-07-17
weissella_cibaria	GCF_001951095.1	Weissella cibaria	2017-01-13
providencia_stuartii	GCF_029075745.1	Providencia stuartii	2023-03-09
enterobacter_cancerogenus	GCF_019665745.1	Enterobacter cancerogenus	2021-08-18
brachyspira_pilosicoli	GCF_000143725.1	Brachyspira pilosicoli 95/1000	2010-07-16
citrobacter_braakii	GCF_009648935.1	Citrobacter braakii	2019-11-11
neisseria_sicca	GCF_017753665.1	Neisseria sicca	2021-04-05
porphyromonas_gingivalis	GCF_000010505.1	Porphyromonas gingivalis ATCC 33277	2008-05-20
nocardia_seriolae	GCF_002356035.1	Nocardia seriolae	2016-12-01
komagataeibacter_medellinensis	GCF_000182745.2	Komagataeibacter medellinensis NBRC 3288	2011-09-25
gluconobacter_oxydans	GCF_000583855.1	Gluconobacter oxydans DSM 3504	2014-03-03
vibrio_owensii	GCF_002021755.1	Vibrio owensii	2017-03-06
burkholderia_contaminans	GCF_004723625.1	Burkholderia contaminans	2017-09-08
pseudomonas_furukawaii	GCF_002355475.1	Pseudomonas furukawaii	2016-04-05
cupriavidus_basilensis	GCF_008801925.2	Cupriavidus basilensis	2020-10-29
cupriavidus_metallidurans	GCF_900185755.1	Cupriavidus metallidurans	2017-07-22
pseudomonas_sihuiensis	GCF_900106015.1	Pseudomonas sihuiensis	2016-10-21
comamonas_testosteroni	GCF_016599875.1	Comamonas testosteroni	2021-01-11
synechococcus_elongatus	GCF_000012525.1	Synechococcus elongatus PCC 7942 = FACHB-805	2005-11-08
mycolicibacterium_gilvum	GCF_000184435.1	Mycolicibacterium gilvum Spyr1	2010-12-21
streptomyces_lydicus	GCF_001984445.1	Streptomyces lydicus	2017-02-03
streptomyces_albireticuli	GCF_021228305.1	Streptomyces albireticuli	2021-12-18
escherichia_marmotae	GCF_029962465.1	Escherichia marmotae	2023-05-10
streptomyces_atratus	GCF_003330865.1	Streptomyces atratus	2018-07-20
tistrella_mobilis	GCF_000264455.2	Tistrella mobilis KA081020-065	2012-12-05
streptomyces_albus	GCF_024752535.1	Streptomyces albus	2022-08-28
stenotrophomonas_maltophilia	GCF_900475405.1	Stenotrophomonas maltophilia	2018-06-17
blastochloris_viridis	GCF_001402875.1	Blastochloris viridis	2015-10-22
oceanobacillus_iheyensis	GCF_000011245.1	Oceanobacillus iheyensis HTE831	2004-02-19
bacillus_thuringiensis	GCF_000161615.1	Bacillus thuringiensis serovar berliner ATCC 10792	2009-05-29
paenibacillus_polymyxa	GCF_006274405.1	Paenibacillus polymyxa	2019-06-12
streptococcus_pneumoniae	GCF_002076835.1	Streptococcus pneumoniae	2017-04-03
vibrio_campbellii	GCF_002906475.1	Vibrio campbellii	2018-01-30
streptomyces_scabiei	GCF_000091305.1	Streptomyces scabiei 87.22	2009-10-06
janthinobacterium_svalbardensis	GCF_002327145.1	Janthinobacterium svalbardensis	2017-09-21
mycolicibacterium_thermoresistibile	GCF_900187065.1	Mycolicibacterium thermoresistibile	2017-08-15
nocardia_farcinica	GCF_000009805.1	Nocardia farcinica IFM 10152	2004-10-08
acinetobacter_venetianus	GCF_000368585.1	Acinetobacter venetianus RAG-1 = CIP 110063	2013-04-19
streptococcus_agalactiae	GCF_001552035.1	Streptococcus agalactiae	2016-02-08
acidithiobacillus_ferrivorans	GCF_900174455.1	Acidithiobacillus ferrivorans	2017-04-21
phaeobacter_inhibens	GCF_002892185.1	Phaeobacter inhibens	2018-01-18
microbacterium_foliorum	GCF_003367705.1	Microbacterium foliorum	2018-08-09
sphingobium_cloacae	GCF_002355855.1	Sphingobium cloacae	2016-10-04
halorhodospira_halochloris	GCF_002356555.2	Halorhodospira halochloris	2018-05-22
candidatus_rhodoluna_planktonica	GCF_001854225.1	Candidatus Rhodoluna planktonica	2016-10-26
streptosporangium_roseum	GCF_000024865.1	Streptosporangium roseum DSM 43021	2009-12-10
klebsiella_pneumoniae	GCF_000240185.1	Klebsiella pneumoniae subsp. pneumoniae HS11286	2011-12-27
ehrlichia_ruminantium	GCF_013460375.1	Ehrlichia ruminantium	2020-07-22
enterobacter_hormaechei	GCF_024218835.1	Enterobacter hormaechei subsp. steigerwaltii	2022-07-12
enterobacter_bugandensis	GCF_020042625.1	Enterobacter bugandensis	2021-09-20
proteus_mirabilis	GCF_000069965.1	Proteus mirabilis HI4320	2008-04-03
klebsiella_variicola	GCF_009648975.1	Klebsiella variicola	2019-11-11
paracoccus_denitrificans	GCF_000203895.1	Paracoccus denitrificans PD1222	2006-12-13
lactobacillus_amylovorus	GCF_000194115.1	Lactobacillus amylovorus GRL1118	2011-03-29
lactobacillus_delbrueckii	GCF_001888925.1	Lactobacillus delbrueckii subsp. jakobsenii ZN7a-9 = DSM 26046	2016-12-05
bifidobacterium_thermophilum	GCF_002846655.1	Bifidobacterium thermophilum	2017-12-21
lactobacillus_johnsonii	GCF_014058685.1	Lactobacillus johnsonii	2020-08-04
cupriavidus_oxalaticus	GCF_008807855.1	Cupriavidus oxalaticus	2019-10-03
alcaligenes_faecalis	GCF_000967305.2	Alcaligenes faecalis	2015-11-17
acidimicrobium_ferrooxidans	GCF_000023265.1	Acidimicrobium ferrooxidans DSM 10331	2009-08-18
beutenbergia_cavernae	GCF_000023105.1	Beutenbergia cavernae DSM 12333	2009-05-07
catenulispora_acidiphila	GCF_000024025.1	Catenulispora acidiphila DSM 44928	2009-08-21
cellulomonas_fimi	GCF_000212695.1	Cellulomonas fimi ATCC 484	2011-05-09
corynebacterium_terpenotabidum	GCF_000418365.1	Corynebacterium terpenotabidum Y-11	2013-07-05
corynebacterium_callunae	GCF_000344785.1	Corynebacterium callunae DSM 20147	2013-03-06
stackebrandtia_nassauensis	GCF_000024545.1	Stackebrandtia nassauensis DSM 44728	2010-03-05
intrasporangium_calvum	GCF_000184685.1	Intrasporangium calvum DSM 43043	2010-12-29
jonesia_denitrificans	GCF_900475835.1	Jonesia denitrificans	2018-06-17
kineococcus_radiotolerans	GCF_000017305.1	Kineococcus radiotolerans SRS30216 = ATCC BAA-149	2008-08-14
micromonospora_aurantiaca	GCF_000145235.1	Micromonospora aurantiaca ATCC 27029	2010-08-11
salinispora_tropica	GCF_000016425.1	Salinispora tropica CNB-440	2007-04-17
nakamurella_multipartita	GCF_000024365.1	Nakamurella multipartita DSM 44233	2009-09-15
saccharomonospora_viridis	GCF_000023865.1	Saccharomonospora viridis DSM 43017	2009-08-26
saccharopolyspora_erythraea	GCF_000062885.1	Saccharopolyspora erythraea NRRL 2338	2007-03-21
saccharothrix_espanaensis	GCF_000328705.1	Saccharothrix espanaensis DSM 44229	2012-10-02
xylanimonas_cellulosilytica	GCF_000024965.1	Xylanimonas cellulosilytica DSM 15894	2009-11-20
microlunatus_phosphovorus	GCF_000270245.1	Microlunatus phosphovorus NM-1	2011-06-01
sanguibacter_keddieii	GCF_000024925.1	Sanguibacter keddieii DSM 10542	2009-11-19
kitasatospora_setae	GCF_000269985.1	Kitasatospora setae KM-6054	2010-11-11
tsukamurella_paurometabola	GCF_000092225.1	Tsukamurella paurometabola DSM 20162	2010-05-13
rickettsia_japonica	GCF_002356735.1	Rickettsia japonica	2017-01-23
staphylococcus_argenteus	GCF_000236925.1	Staphylococcus argenteus	2011-11-10
helicobacter_cinaedi	GCF_000284635.1	Helicobacter cinaedi PAGU611	2012-04-23
streptomyces_dengpaensis	GCF_002946835.1	Streptomyces dengpaensis	2018-02-22
vibrio_rumoiensis	GCF_002218045.2	Vibrio rumoiensis	2018-06-06
vibrio_casei	GCF_003335255.1	Vibrio casei	2018-07-22
veillonella_parvula	GCF_900186885.1	Veillonella parvula	2017-08-15
veillonella_rodentium	GCF_900187285.1	Veillonella rodentium	2017-08-15
brevibacillus_brevis	GCF_900637055.1	Brevibacillus brevis	2018-12-20
klebsiella_quasipneumoniae	GCF_016415705.1	Klebsiella quasipneumoniae	2020-12-15
muribaculum_intestinale	GCF_001688845.2	Muribaculum intestinale	2017-04-05
prevotella_dentalis	GCF_000242335.1	Prevotella dentalis DSM 3688	2012-12-27
helicobacter_apodemus	GCF_003097575.1	Helicobacter apodemus	2018-05-08
bacteroides_caecimuris	GCF_001688725.2	Bacteroides caecimuris	2017-04-05
aerococcus_christensenii	GCF_001543105.1	Aerococcus christensenii	2016-02-01
clostridioides_difficile	GCF_018885085.1	Clostridioides difficile	2021-06-15
streptococcus_infantarius	GCF_016127275.1	Streptococcus infantarius	2020-12-20
prevotella_intermedia	GCF_001953955.1	Prevotella intermedia ATCC 25611 = DSM 20706	2017-01-18
anaerotignum_propionicum	GCF_001561955.1	Anaerotignum propionicum DSM 1682	2016-02-16
bacteroides_zoogleoformans	GCF_002998435.1	Bacteroides zoogleoformans	2018-03-14
desulfovibrio_fairfieldensis	GCF_001553605.1	Desulfovibrio fairfieldensis	2016-02-09
roseburia_hominis	GCF_902387955.1	Roseburia hominis	2019-08-10
alkaliphilus_metalliredigens	GCF_000016985.1	Alkaliphilus metalliredigens QYMF	2007-06-28
legionella_pneumophila	GCF_001753085.1	Legionella pneumophila	2016-10-06
pseudomonas_fulva	GCF_001186195.1	Pseudomonas fulva	2015-07-22
neisseria_gonorrhoeae	GCF_013030075.1	Neisseria gonorrhoeae	2020-05-01
bacillus_licheniformis	GCF_002074095.1	Bacillus licheniformis	2017-03-29
vibrio_nigripulchritudo	GCF_000723605.1	Vibrio nigripulchritudo Wn13	2014-06-26
bradyrhizobium_oligotrophicum	GCF_000344805.1	Bradyrhizobium oligotrophicum S58	2013-02-28
leptospira_alstonii	GCF_001569395.1	Leptospira alstonii	2016-02-24
leptospira_biflexa	GCF_000017685.1	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	2008-02-13
flavonifractor_plautii	GCF_010508875.1	Flavonifractor plautii	2020-02-13
oscillibacter_valericigenes	GCF_021531915.1	Oscillibacter valericigenes	2022-01-19
enterobacter_asburiae	GCF_007035805.1	Enterobacter asburiae	2019-05-14
hafnia_alvei	GCF_011617105.1	Hafnia alvei	2020-03-23
lawsonia_intracellularis	GCF_000331715.1	Lawsonia intracellularis N343	2013-01-14
campylobacter_coli	GCF_009730395.1	Campylobacter coli	2019-12-05
chlamydia_trachomatis	GCF_000008725.1	Chlamydia trachomatis D/UW-3/CX	2001-01-09
neisseria_meningitidis	GCF_008330805.1	Neisseria meningitidis	2019-09-09
leptospira_interrogans	GCF_002073495.2	Leptospira interrogans serovar Copenhageni	2018-03-01
escherichia_fergusonii	GCF_020097475.1	Escherichia fergusonii	2021-09-23
burkholderia_pseudomallei	GCF_000756125.1	Burkholderia pseudomallei	2014-09-18
paenibacillus_glucanolyticus	GCF_001633025.1	Paenibacillus glucanolyticus	2016-04-27
comamonas_kerstersii	GCF_002056725.1	Comamonas kerstersii	2017-03-21
streptococcus_mitis	GCF_000960005.1	Streptococcus mitis	2015-03-23
marinovum_algicola	GCF_900109145.1	Marinovum algicola	2016-10-31
phaeobacter_gallaeciensis	GCF_000511385.1	Phaeobacter gallaeciensis DSM 26640	2013-12-20
celeribacter_baekdonensis	GCF_900102315.1	Celeribacter baekdonensis	2016-10-21
celeribacter_indicus	GCF_000819565.1	Celeribacter indicus	2015-01-16
streptococcus_pseudopneumoniae	GCF_000221985.1	Streptococcus pseudopneumoniae IS7493	2011-07-29
streptococcus_oralis	GCF_900637025.1	Streptococcus oralis ATCC 35037	2018-12-20
roseovarius_mucosus	GCF_000768555.3	Roseovarius mucosus DSM 17069	2014-10-24
octadecabacter_arcticus	GCF_000155735.2	Octadecabacter arcticus 238	2013-04-08
neisseria_lactamica	GCF_003351565.1	Neisseria lactamica	2018-08-01
neisseria_polysaccharea	GCF_963392925.1	Neisseria polysaccharea	2023-08-27
moraxella_catarrhalis	GCF_002080125.1	Moraxella catarrhalis	2017-04-05
micrococcus_luteus	GCF_019890915.1	Micrococcus luteus	2021-09-07
staphylococcus_warneri	GCF_003571725.1	Staphylococcus warneri	2018-09-16
acetobacter_pasteurianus	GCF_009914215.2	Acetobacter pasteurianus	2023-07-11
komagataeibacter_xylinus	GCF_004006375.1	Komagataeibacter xylinus	2019-01-09
komagataeibacter_europaeus	GCF_002173515.1	Komagataeibacter europaeus	2017-06-06
acetobacter_ascendens	GCF_002173775.1	Acetobacter ascendens	2017-06-06
butyrivibrio_fibrisolvens	GCF_037113525.1	Butyrivibrio fibrisolvens	2024-04-05
bifidobacterium_pseudocatenulatum	GCF_020541885.1	Bifidobacterium pseudocatenulatum	2021-10-21
faecalitalea_cylindroides	GCF_028321995.1	Faecalitalea cylindroides	2023-01-30
anaerostipes_hadrus	GCF_000210695.1	Anaerostipes hadrus	2010-03-25
faecalibacterium_prausnitzii	GCF_000154385.1	Faecalibacterium prausnitzii M21/2	2007-09-12
[eubacterium]_eligens	GCF_000146185.1	[Eubacterium] eligens ATCC 27750	2009-06-04
lachnoclostridium_phocaeense	GCF_900120345.1	Lachnoclostridium phocaeense	2016-11-22
planococcus_versutus	GCF_001186155.3	Planococcus versutus	2016-11-01
ruminococcus_bicirculans	GCF_000723465.1	Ruminococcus bicirculans (ex Wegman et al. 2014)	2014-01-06
oceanisphaera_avium	GCF_002157875.1	Oceanisphaera avium	2017-05-25
acetoanaerobium_sticklandii	GCF_000196455.1	Acetoanaerobium sticklandii	2010-10-16
staphylococcus_lugdunensis	GCF_001558775.1	Staphylococcus lugdunensis	2016-02-11
burkholderia_stabilis	GCF_900240005.1	Burkholderia stabilis	2018-10-22
staphylococcus_haemolyticus	GCF_001611955.1	Staphylococcus haemolyticus	2016-04-06
melissococcus_plutonius	GCF_003966875.1	Melissococcus plutonius	2018-04-24
chlamydia_suis	GCF_900169125.1	Chlamydia suis	2017-06-06
ruegeria_pomeroyi	GCF_000011965.2	Ruegeria pomeroyi DSS-3	2013-12-10
neisseria_elongata	GCF_003351545.1	Neisseria elongata	2018-08-01
campylobacter_helveticus	GCF_002080395.1	Campylobacter helveticus	2017-04-06
chlamydia_caviae	GCF_000007605.1	Chlamydia caviae GPIC	2003-04-14
